Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU;valor m2;Tipo Agregado
Apartamento;Flamengo;2;1;0;57;2800.0;832.0;98.0;49.12280701754386;Apartamento
Apartamento;Campo Grande;3;1;1;98;1800.0;950.0;0.0;18.367346938775512;Apartamento
Apartamento;Jardim Botânico;3;1;2;170;6000.0;860.0;540.0;35.294117647058826;Apartamento
Apartamento;Leblon;4;2;2;207;15500.0;6000.0;934.0;74.8792270531401;Apartamento
Apartamento;Barra da Tijuca;4;4;4;518;38000.0;5004.0;1747.0;73.35907335907336;Apartamento
Apartamento;Ipanema;1;0;1;50;2400.0;897.0;26.0;48.0;Apartamento
Quitinete;Copacabana;1;0;0;35;1700.0;400.0;55.0;48.57142857142857;Apartamento
Apartamento;Recreio dos Bandeirantes;3;2;1;150;2500.0;1012.0;0.0;16.666666666666668;Apartamento
Apartamento;Copacabana;2;0;0;65;2700.0;710.0;130.0;41.53846153846154;Apartamento
Apartamento;Recreio dos Bandeirantes;4;3;2;300;4500.0;1500.0;580.0;15.0;Apartamento
Apartamento;Recreio dos Bandeirantes;2;2;1;115;1900.0;661.0;0.0;16.52173913043478;Apartamento
Casa de Vila;Jacarepaguá;3;1;0;100;2000.0;100.0;0.0;20.0;Casa
Apartamento;Recreio dos Bandeirantes;3;3;1;110;1500.0;873.0;0.0;13.636363636363637;Apartamento
Casa;Botafogo;12;5;0;500;18000.0;0.0;1800.0;36.0;Casa
Apartamento;Barra da Tijuca;4;3;4;304;13000.0;3800.0;1350.0;42.76315789473684;Apartamento
Casa de Condomínio;Barra da Tijuca;4;2;4;280;8500.0;750.0;620.0;30.357142857142858;Casa
Apartamento;Tijuca;3;1;0;88;2300.0;790.0;885.0;26.136363636363637;Apartamento
Apartamento;Ipanema;3;1;1;145;7200.0;2900.0;500.0;49.6551724137931;Apartamento
Casa;Catete;10;0;10;300;15000.0;0.0;220.0;50.0;Casa
Apartamento;Urca;1;0;0;53;2800.0;770.0;0.0;52.83018867924528;Apartamento
Apartamento;Ipanema;3;1;1;116;5000.0;1600.0;316.0;43.10344827586207;Apartamento
Apartamento;Tijuca;3;1;0;116;2000.0;790.0;194.0;17.24137931034483;Apartamento
